7598,None,Tax Division; ,12-1477; 
7599,None,Criminal Division; ,12-1474; 
7600,StopFraud; ,Criminal Division; ,12-1473; 
7601,None,Civil Rights Division; ,12-1472; 
7602,None,Criminal Division; ,12-1471; 
7603,StopFraud; ,Criminal Division; ,12-1470; 
7604,None,Criminal Division; ,12-1467; 
7605,None,Criminal Division; ,12-1466; 
7606,Consumer Protection; ,Civil Division; ,12-1465; 
7607,Indian Country Law and Justice; ,Office of Justice Programs (OJP); ,12-1464; 
7608,None,Antitrust Division; ,12-1463; 
7609,None,Criminal Division; ,12-1462; 
7610,None,Criminal Division; ,12-1461; 
7611,None,Criminal Division; ,12-1461; 
7612,Consumer Protection; ,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,12-1460; 
7613,None,Office of the Attorney General; ,12-1458; 
7614,None,Office of the Attorney General; ,12-1457; 
7615,None,Civil Division; ,12-1459; 
7616,None,Environment and Natural Resources Division; ,12-1455; 
7617,None,Civil Rights Division; ,12-1456; 
7618,None,Criminal Division; ,12-1452; 
7619,None,Tax Division; ,12-1454; 
7620,None,Civil Division; ,12-1453; 
7621,None,Criminal Division; ,12-1450; 
7622,None,Environment and Natural Resources Division; ,12-1449; 
7623,None,Tax Division; ,12-1448; 
7624,None,Civil Rights Division; ,12-1447; 
7625,Hate Crimes; ,Civil Rights Division; ,12-1446; 
7626,None,Tax Division; ,12-1444; 
7627,None,Criminal Division; ,12-1443; 
7628,None,Tax Division; ,12-1442; 
7629,Consumer Protection; StopFraud; ,Office of the Attorney General; ,12-1439; 
7630,None,Criminal Division; ,12-1441; 
7631,None,Criminal Division; ,12-1440; 
7632,None,Office of the Attorney General; ,12-1438; 
7633,None,Criminal Division; ,12-1436; 
7634,None,Criminal Division; ,12-1437; 
7635,None,Environment and Natural Resources Division; ,12-1435; 
7636,None,Civil Rights Division; ,12-1434; 
7637,None,Environment and Natural Resources Division; ,12-1431; 
7638,None,Criminal Division; ,12-1430; 
7639,None,Civil Rights Division; ,12-1429; 
7640,StopFraud; ,Criminal Division; ,12-1428; 
7641,None,Tax Division; ,12-1427; 
7642,StopFraud; ,Criminal Division; ,12-1426; 
7643,None,Office of the Attorney General; ,12-1425; 
7644,None,Criminal Division; ,12-1424; 
7645,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,12-1423; 
7646,Consumer Protection; ,Civil Division; ,12-1422; 
7647,None,Criminal Division; ,12-1421; 
7648,None,Criminal Division; ,12-1420; 
7649,None,Criminal Division; ,12-1419; 
7650,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,12-1418; 
7651,None,Antitrust Division; ,12-1416; 
7652,None,Civil Rights Division; ,12-1415; 
7653,None,Civil Division; ,12-1413; 
7654,None,Office of the Attorney General; ,12-1414; 
7655,None,Criminal Division; ,12-1411; 
7656,None,Civil Rights Division; ,12-1410; 
7657,None,Criminal Division; ,12-1408; 
7658,None,Criminal Division; ,12-1407; 
7659,None,Criminal Division; ,12-1405; 
7660,None,Tax Division; ,12-1409; 
7661,None,Criminal Division; ,12-1404; 
7662,None,Civil Rights Division; ,12-1403; 
7663,None,Environment and Natural Resources Division; ,12-1402; 
7664,StopFraud; ,Criminal Division; ,12-1400; 
7665,None,Criminal Division; ,12-1398; 
7666,None,Civil Division; ,12-1401; 
7667,None,Environment and Natural Resources Division; ,12-1399; 
7668,None,Civil Division; ,12-1397; 
7669,None,Civil Rights Division; ,12-1396; 
7670,StopFraud; ,Civil Division; ,12-1395; 
7671,None,National Security Division (NSD); ,12-1392; 
